token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
636F7265756D3930356330393837333200000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1,798,8,786,786,534,20,20
OPM,rhdG26oZL6QKzSXsVfHGSzdXsTxR6RZ23X,792,23,726,726,553,89,89
4C41574153000000000000000000000000000000,rfAWYnEAkQGAhbESWAMdNccWJvdcrgugMC,790,1,786,786,556,5,5
4C554D4F53000000000000000000000000000000,rsPqeamjpr3Bxu4LhtCgvJEAQusYRRg6Ha,786,15,730,730,556,72,71
434142414C000000000000000000000000000000,rfqa9E9K5CVQCREToT4Rrzg8rgjaeWKBKJ,781,0,781,781,481,0,0
574146464C000000000000000000000000000000,rfmzzPPU58nukrktDYe6M8wKrxeVb5hMNJ,775,6,771,771,600,10,10
636F7265756D3430623433626639656500000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1,774,0,774,774,607,0,0
PLR,rNSYhWLhuHvmURwWbJPBKZMSPsyG5Qek17,770,18,743,743,581,50,45
586F676500000000000000000000000000000000,rJMtvf5B3GbuFMrqybh5wYVXEH4QE8VyU1,767,10,715,715,612,70,62
21S,rhCkQCZrPfUN23ZceawYmwUR9vrmCiuXsf,762,1,762,762,467,1,1
$67,rPuCtyUh6wozrY3it8SNgM9tUn8sWb9TPz,762,0,762,762,687,0,0
2445564F00000000000000000000000000000000,rPLQFoVbf6fefzuUZSZEqW9pjUHUXJD5j8,760,7,760,760,481,7,7
4C61756768000000000000000000000000000000,r32nbPw6cyt3KdxinB4ua6WSLRrrF4SXAC,757,3,744,744,631,16,16
OVO,rgYfewBWZeTgaRG6iA4zwy6q9WzaHKjYL,756,15,752,752,493,19,19
484F4C5920524542454C00000000000000000000,rwrsUT6ynqimffkxd6tAohFRDGHgGFmFjc,746,0,746,746,547,0,0
484F4E4559000000000000000000000000000000,rNa4hZ4kfPwEdN5gSbbNr33aSpyF5ZjzDm,744,1,743,743,731,3,2
534541474F4E5300000000000000000000000000,rLASSwhJhdwGsPA2JvUvdwqNKPfN1qspee,736,0,735,735,636,1,1
4449504954000000000000000000000000000000,rDEkx33sz3iusEeDTcWsQkdZtN6DWp16WM,733,1,733,733,411,1,1
5265646479000000000000000000000000000000,rw5Kdcm1vW4xVefFafjMbevs5SL9fYP36U,732,0,732,732,574,0,0
SLT,rfGCeDUdtbzKbXfgvrpG745qdC1hcZBz8S,731,10,649,649,539,103,92
LOX,r9kzhatDuUyAxAYbbsZAbs8nLr3t7sa6Wk,723,0,723,723,497,0,0
586D656E00000000000000000000000000000000,rMFL2KuFPMuiujdbVGbMzNNjj5QKyd6dZf,717,1,717,717,483,1,1
636F7265756D3161656339613265303900000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1,712,0,712,712,557,0,0
5645494C00000000000000000000000000000000,rLNSe425eFUmCGhFtkAv6dHiQUSRsqRLRE,712,0,712,712,452,0,0
tbh,rEjbG5Bg8wvUDoLCKDQCzoArFuZ2Gg5nUi,711,29,677,677,517,65,63
4D4F4E4144000000000000000000000000000000,rHg4Jez695kHSPb6y3Mvg6Qz1Y4N3hVXeu,705,5,705,705,546,5,5
